Name,Count
LinearRegression,2
PDBTools,2
WannierIO,2
POMDPTesting,2
StaticCompiler,2
SphericalHarmonics,2
RequiredInterfaces,2
ProtoBuf,2
NearestNeighborModels,2
DayCounts,2
Memento,2
AutoDiffOperators,2
OptimizationMetaheuristics,2
Insolation,2
MuladdMacro,2
ExtendableFEMBase,2
KNITRO,2
FunctionChains,2
MathTeXEngine,2
Noise,2
AnovaGLM,2
NiaARM,2
FinSetsForCAP,2
PkgVersion,2
InferenceObjects,2
FrankWolfe,2
Infinity,2
PlyIO,2
Ipopt_jll,2
StochasticDelayDiffEq,2
DiffOpt,2
DisplayAs,2
OptimizationManopt,2
OteraEngine,2
RoundingIntegers,2
EasyConfig,2
MinFEM,2
PeriodicTable,2
Xorg_libxcb_jll,2
SciMLStructures,2
AbstractPPL,2
YaoArrayRegister,2
VT100,2
Inflate,2
PositiveFactorizations,2
Parsers,2
GLPKMathProgInterface,2
HerbSpecification,2
QSM,2
PropCheck,2
COBREXA,2
Gtk4,2
Yao,2
CodecBase,2
HybridSystems,2
HypercubeTransform,2
QuantitativeSusceptibilityMappingTGV,2
MutableNamedTuples,2
TheoryOfGames,2
KiteModels,2
CPUSummary,2
SatelliteToolboxTransformations,2
DifferenceEquations,2
OpenCL,2
StatFiles,2
ImageDraw,2
MD5,2
NaturalEarth,2
BlockDiagonals,2
DataFrameMacros,2
LasIO,2
DataAugmentation,2
StandardizedRestrictedBoltzmannMachines,2
AutomationLabsIdentification,2
HerbGrammar,2
Knet,2
ImageAxes,2
CLIMAParameters,2
SummationByPartsOperators,2
FMI,2
ParameterHandling,2
Trapz,2
PSDMatrices,2
DatasetsCF,2
TiledIteration,2
VLBIImagePriors,2
MathematicalSystems,2
SparseVariables,2
StructEqualHash,2
PlayingCards,2
TreeRecipe,2
QUBODrivers,2
SOCRATESSingleColumnForcings,2
CTDirect,2
InterferometricModels,2
MetaTesting,2
Tempo,2
ConstraintTrees,2
RadonKA,2
ShiftedProximalOperators,2
JSONTables,2
KitePodModels,2
PrettyPrint,2
FilePaths,2
TableTraitsUtils,2
JetPack,2
ParameterSchedulers,2
SparseMatricesCOO,2
BlackBoxOptimizationBenchmarking,2
ArbNumerics,2
FeynmanDiagram,2
SimpleChains,2
SimpleGraphs,2
pocl_jll,2
TensorKit,2
JavaCall,2
SimpleBufferStream,2
SpineInterface,2
ThreadingUtilities,2
StateSpaceSets,2
ManualMemory,2
CodecZlibNG,2
DirectedAcyclicGraphs,2
ExtendedDates,2
CatIndices,2
NLPModelsKnitro,2
QueryTables,2
SumOfSquares,2
CommonRLSpaces,2
MadNLPTests,2
CrystalInfoFramework,2
CovarianceEstimation,2
WrappedMultiGraphs,2
ArrayLayouts,2
FromFile,2
GeometryTypes,2
AWSTools,2
PlutoLinks,2
MLJClusteringInterface,2
AMGCLWrap,2
SampleChainsDynamicHMC,2
FlexiGroups,2
TupleVectors,2
AdvancedVI,2
